from_sno,to_sno,from_sna,to_sna,time,quantity
500103001,500103028,延平國宅,捷運北門站(3號出口),00:00,2
500103001,500103052,延平國宅,捷運民權西路站(3號出口),00:00,2
500103004,500103028,民族延平路口,捷運北門站(3號出口),00:00,5
500103004,500103055,民族延平路口,承德昌吉街口,00:00,1
500103005,500103052,重慶酒泉街口,捷運民權西路站(3號出口),00:00,1
500103006,500103011,樹德公園,重慶國中,00:00,1
500103008,500103078,臺北孔廟,明倫高中,00:00,4
500103012,500103052,重慶北路三段383巷口,捷運民權西路站(3號出口),00:00,1
500103020,500103046,民權迪化街口,民權國中(民權西路),00:00,1
500103020,500103074,民權迪化街口,承德路三段324巷口,00:00,4
500103020,500103078,民權迪化街口,明倫高中,00:00,3
500103021,500103075,大稻埕公園,玉泉公園(鄭州路),00:00,2
500103021,500103078,大稻埕公園,明倫高中,00:00,1
500103031,500103074,大龍公園,承德路三段324巷口,00:00,1
500103035,500103023,重慶民族路口,大龍峒社會住宅,00:00,4
500103038,500103046,國順公園,民權國中(民權西路),00:00,2
500103040,500103052,蔣渭水紀念公園,捷運民權西路站(3號出口),00:00,1
500103043,500103078,重慶保安街口(家樂福重慶店),明倫高中,00:00,1
500103045,500103078,歸綏戲曲公園,明倫高中,00:00,1
500103058,500103011,樹德公園_1,重慶國中,00:00,1
500103058,500103033,樹德公園_1,圓山線形公園,00:00,1
500103058,500103048,樹德公園_1,南京太原路口,00:00,3
500103058,500103054,樹德公園_1,重慶長安路口,00:00,1
500103058,500103056,樹德公園_1,大同16號廣場,00:00,1
500103061,500103023,雙蓮國小,大龍峒社會住宅,00:00,1
500103062,500103052,寧夏涼州街口,捷運民權西路站(3號出口),00:00,1
500103064,500103013,大同行政中心,台北數位產業園區,00:00,1
500103064,500103048,大同行政中心,南京太原路口,00:00,1
500103065,500103028,大龍市場,捷運北門站(3號出口),00:00,2
500103065,500103076,大龍市場,玉泉公園(忠孝西路),00:00,1
500103066,500103055,南京西寧北路口(西北側),承德昌吉街口,00:00,1
500103068,500103076,哈密街23巷19弄口,玉泉公園(忠孝西路),00:00,4
500103070,500103048,重慶北路三段205巷口,南京太原路口,00:00,1
500103073,500103052,民族西大龍街口,捷運民權西路站(3號出口),00:00,1
500103019,500103054,民權延平路口(西北側),重慶長安路口,00:30,1
500103021,500103046,大稻埕公園,民權國中(民權西路),00:30,1
500103031,500103046,大龍公園,民權國中(民權西路),00:30,1
500103072,500103055,酒泉庫倫街口,承德昌吉街口,01:30,1
500103031,500103048,大龍公園,南京太原路口,02:00,1
500103040,500103032,蔣渭水紀念公園,重慶涼州街口,02:00,1
500103070,500103006,重慶北路三段205巷口,樹德公園,02:00,1
500103059,500103035,承德鄭州路口(市民高架下),重慶民族路口,05:00,1
500103042,500103002,大同運動中心,臺北市立圖書館大同分館,05:30,1
500103059,500103058,承德鄭州路口(市民高架下),樹德公園_1,06:00,2
500103042,500103045,大同運動中心,歸綏戲曲公園,06:30,1
500103059,500103022,承德鄭州路口(市民高架下),大龍老人住宅,07:00,1
500103030,500103024,永樂市場,捷運大橋頭站(2號出口),07:30,2
500103051,500103024,臺北轉運站(華陰街),捷運大橋頭站(2號出口),07:30,3
500103053,500103024,捷運中山站(5號出口),捷運大橋頭站(2號出口),07:30,1
500103009,500103028,捷運圓山站(1號出口),捷運北門站(3號出口),09:00,5
500103027,500103028,捷運雙連站(2號出口),捷運北門站(3號出口),09:00,1
500103027,500103075,捷運雙連站(2號出口),玉泉公園(鄭州路),09:00,1
500103063,500103075,延平涼州街口,玉泉公園(鄭州路),09:00,2
500103059,500103026,承德鄭州路口(市民高架下),捷運民權西路站(2號出口),09:30,2
500103069,500103075,民權西路160巷口,玉泉公園(鄭州路),09:30,1
500103037,500103026,太原廣場,捷運民權西路站(2號出口),10:00,2
500103073,500103026,民族西大龍街口,捷運民權西路站(2號出口),10:00,1
500103029,500103026,朝陽公園,捷運民權西路站(2號出口),10:30,1
500103012,500103039,重慶北路三段383巷口,聯合醫院中興院區,11:30,2
