pair,X,Y,objective,mean_wait
mu_K,1.0,50.0,160.4,8.0
mu_K,1.0,75.0,160.4,8.0
mu_K,1.0,100.0,160.4,8.0
mu_K,1.0,125.0,160.4,8.0
mu_K,1.0,150.0,160.4,8.0
mu_K,1.5,50.0,107.06666666666665,5.333333333333333
mu_K,1.5,75.0,107.06666666666665,5.333333333333333
mu_K,1.5,100.0,107.06666666666665,5.333333333333333
mu_K,1.5,125.0,107.06666666666665,5.333333333333333
mu_K,1.5,150.0,107.06666666666665,5.333333333333333
mu_K,2.0,50.0,80.4,4.0
mu_K,2.0,75.0,80.4,4.0
mu_K,2.0,100.0,80.4,4.0
mu_K,2.0,125.0,80.4,4.0
mu_K,2.0,150.0,80.4,4.0
mu_K,2.5,50.0,64.4,3.2
mu_K,2.5,75.0,64.4,3.2
mu_K,2.5,100.0,64.4,3.2
mu_K,2.5,125.0,64.4,3.2
mu_K,2.5,150.0,64.4,3.2
mu_K,3.0,50.0,53.73333333333333,2.6666666666666665
mu_K,3.0,75.0,53.73333333333333,2.6666666666666665
mu_K,3.0,100.0,53.73333333333332,2.6666666666666665
mu_K,3.0,125.0,53.73333333333332,2.6666666666666665
mu_K,3.0,150.0,53.73333333333332,2.6666666666666665
alpha_beta,0.005,0.005,106.86666666666665,5.333333333333333
alpha_beta,0.005,0.015,107.26666666666664,5.333333333333333
alpha_beta,0.005,0.025,107.66666666666664,5.333333333333333
alpha_beta,0.005,0.034999999999999996,108.06666666666665,5.333333333333333
alpha_beta,0.005,0.045,108.46666666666665,5.333333333333333
alpha_beta,0.015,0.005,106.86666666666665,5.333333333333333
alpha_beta,0.015,0.015,107.26666666666664,5.333333333333333
alpha_beta,0.015,0.025,107.66666666666664,5.333333333333333
alpha_beta,0.015,0.034999999999999996,108.06666666666665,5.333333333333333
alpha_beta,0.015,0.045,108.46666666666665,5.333333333333333
alpha_beta,0.025,0.005,106.86666666666665,5.333333333333333
alpha_beta,0.025,0.015,107.26666666666664,5.333333333333333
alpha_beta,0.025,0.025,107.66666666666664,5.333333333333333
alpha_beta,0.025,0.034999999999999996,108.06666666666665,5.333333333333333
alpha_beta,0.025,0.045,108.46666666666665,5.333333333333333
alpha_beta,0.034999999999999996,0.005,106.86666666666665,5.333333333333333
alpha_beta,0.034999999999999996,0.015,107.26666666666664,5.333333333333333
alpha_beta,0.034999999999999996,0.025,107.66666666666664,5.333333333333333
alpha_beta,0.034999999999999996,0.034999999999999996,108.06666666666665,5.333333333333333
alpha_beta,0.034999999999999996,0.045,108.46666666666665,5.333333333333333
alpha_beta,0.045,0.005,106.86666666666665,5.333333333333333
alpha_beta,0.045,0.015,107.26666666666664,5.333333333333333
alpha_beta,0.045,0.025,107.66666666666664,5.333333333333333
alpha_beta,0.045,0.034999999999999996,108.06666666666665,5.333333333333333
alpha_beta,0.045,0.045,108.46666666666665,5.333333333333333
